Gmt time,Open,High,Low,Close,Volume
06.10.2020 15:03:00.000,114.997,115.018,114.887,114.907,3571569.9196
06.10.2020 15:04:00.000,114.897,114.928,114.828,114.908,3874089.9563
06.10.2020 15:05:00.000,114.908,114.938,114.737,114.788,5731140.1367
06.10.2020 15:06:00.000,114.777,114.858,114.777,114.818,4268370.1515
06.10.2020 15:07:00.000,114.828,114.878,114.747,114.748,3328429.9374
06.10.2020 15:08:00.000,114.758,114.787,114.657,114.708,4207369.8044
06.10.2020 15:09:00.000,114.717,114.728,114.657,114.687,4366829.8721
06.10.2020 15:10:00.000,114.688,114.708,114.468,114.498,4246369.8387
06.10.2020 15:11:00.000,114.497,114.498,114.287,114.427,5591760.1585
06.10.2020 15:12:00.000,114.427,114.488,114.347,114.488,5113239.7652
06.10.2020 15:13:00.000,114.478,114.557,114.418,114.458,5371469.9745
06.10.2020 15:14:00.000,114.448,114.528,114.408,114.447,4248620.0333
06.10.2020 15:15:00.000,114.458,114.468,114.397,114.427,3386120.0809
06.10.2020 15:16:00.000,114.428,114.437,114.257,114.417,4931719.78
06.10.2020 15:17:00.000,114.407,114.407,114.158,114.298,4910739.8987
06.10.2020 15:18:00.000,114.308,114.367,114.228,114.288,5148159.9808
06.10.2020 15:19:00.000,114.298,114.348,114.247,114.268,4447159.7672
06.10.2020 15:20:00.000,114.268,114.308,114.147,114.297,4949180.1262
06.10.2020 15:21:00.000,114.307,114.398,114.267,114.278,4029160.0227
06.10.2020 15:22:00.000,114.268,114.278,114.118,114.187,4266160.0113
06.10.2020 15:23:00.000,114.198,114.208,113.888,113.888,5828390.1215
06.10.2020 15:24:00.000,113.897,113.968,113.777,113.838,6511010.17
06.10.2020 15:25:00.000,113.817,113.868,113.697,113.738,5268410.2058
06.10.2020 15:26:00.000,113.737,114.008,113.657,114.007,6070509.9106
06.10.2020 15:27:00.000,114.007,114.007,113.847,113.918,5031489.8491
06.10.2020 15:28:00.000,113.908,114.038,113.877,113.997,6089640.1405
06.10.2020 15:29:00.000,114.008,114.118,114.007,114.017,4770699.9779
06.10.2020 15:30:00.000,114.008,114.018,113.858,113.948,4888949.8711
06.10.2020 15:31:00.000,113.947,114.027,113.858,113.947,5331739.9025
06.10.2020 15:32:00.000,113.938,114.018,113.897,113.938,3913069.9635
06.10.2020 15:33:00.000,113.947,113.958,113.878,113.937,3809890.0318
06.10.2020 15:34:00.000,113.947,114.078,113.937,114.048,3789949.894
06.10.2020 15:35:00.000,114.048,114.158,114.037,114.117,4872570.0378
06.10.2020 15:36:00.000,114.117,114.127,113.977,113.998,4068200.1114
06.10.2020 15:37:00.000,113.997,114.088,113.967,114.067,3890719.8906
06.10.2020 15:38:00.000,114.077,114.207,114.077,114.188,3250449.8959
06.10.2020 15:39:00.000,114.187,114.208,114.147,114.157,3849260.0918
06.10.2020 15:40:00.000,114.168,114.218,114.127,114.158,3089699.9836
06.10.2020 15:41:00.000,114.147,114.238,114.147,114.208,2027159.9293
06.10.2020 15:42:00.000,114.197,114.257,114.187,114.247,1942810.0586
06.10.2020 15:43:00.000,114.237,114.297,114.228,114.258,2831530.0941
06.10.2020 15:44:00.000,114.267,114.278,114.177,114.177,3048470.0203
06.10.2020 15:45:00.000,114.167,114.188,113.967,114.027,4150740.1466
06.10.2020 15:46:00.000,114.038,114.098,113.997,114.047,2806659.9369
06.10.2020 15:47:00.000,114.047,114.058,113.797,113.798,4947700.0237
06.10.2020 15:48:00.000,113.797,113.898,113.767,113.877,4551219.9402
06.10.2020 15:49:00.000,113.878,113.898,113.708,113.708,5590429.7829
06.10.2020 15:50:00.000,113.727,113.727,113.468,113.618,6994130.1346
06.10.2020 15:51:00.000,113.627,113.657,113.567,113.628,4389890.1939
06.10.2020 15:52:00.000,113.637,113.708,113.547,113.678,4949389.9345
06.10.2020 15:53:00.000,113.687,113.757,113.657,113.698,3747329.9503
06.10.2020 15:54:00.000,113.698,113.798,113.697,113.767,4187660.2173
06.10.2020 15:55:00.000,113.767,113.808,113.727,113.768,3988409.996
06.10.2020 15:56:00.000,113.757,113.818,113.707,113.777,2945909.977
06.10.2020 15:57:00.000,113.778,113.868,113.767,113.857,3731220.0069
06.10.2020 15:58:00.000,113.867,113.888,113.797,113.827,2947949.8863
06.10.2020 15:59:00.000,113.837,113.847,113.777,113.827,2265310.0491
06.10.2020 16:00:00.000,113.828,113.938,113.797,113.888,3955110.0731
06.10.2020 16:01:00.000,113.897,113.968,113.887,113.938,3027950.0484
06.10.2020 16:02:00.000,113.937,113.988,113.877,113.917,2805579.9007
06.10.2020 16:03:00.000,113.907,114.168,113.907,114.128,3532069.9215
06.10.2020 16:04:00.000,114.117,114.408,114.108,114.367,6876359.9396
06.10.2020 16:05:00.000,114.378,114.558,114.317,114.558,6183020.1149
06.10.2020 16:06:00.000,114.557,114.778,114.498,114.778,6899690.1512
06.10.2020 16:07:00.000,114.767,114.977,114.747,114.937,6963659.7633
06.10.2020 16:08:00.000,114.948,115.048,114.747,114.908,7368700.0275
06.10.2020 16:09:00.000,114.898,115.118,114.898,115.088,5320940.0177
06.10.2020 16:10:00.000,115.068,115.197,115.037,115.098,6224929.8096
06.10.2020 16:11:00.000,115.107,115.118,114.917,114.927,4662789.8216
06.10.2020 16:12:00.000,114.917,115.118,114.907,114.978,5137839.7942
06.10.2020 16:13:00.000,114.987,115.037,114.887,114.977,4155799.8657
06.10.2020 16:14:00.000,114.987,114.988,114.837,114.908,3572530.0312
06.10.2020 16:15:00.000,114.907,114.967,114.818,114.887,2892009.9735
06.10.2020 16:16:00.000,114.887,115.018,114.857,114.938,3114629.9839
06.10.2020 16:17:00.000,114.938,115.038,114.907,114.958,2451030.0159
06.10.2020 16:18:00.000,114.958,114.998,114.917,114.987,2749259.9487
06.10.2020 16:19:00.000,114.987,115.028,114.867,114.877,3095400.095
06.10.2020 16:20:00.000,114.877,114.897,114.657,114.818,5156420.2309
06.10.2020 16:21:00.000,114.788,114.868,114.768,114.848,2292360.0674
06.10.2020 16:22:00.000,114.858,114.948,114.847,114.867,3512029.8862
06.10.2020 16:23:00.000,114.868,114.998,114.827,114.977,3132030.0102
06.10.2020 16:24:00.000,114.978,114.998,114.917,114.977,2551779.9854
06.10.2020 16:25:00.000,114.988,114.997,114.907,114.958,1887699.9617
06.10.2020 16:26:00.000,114.967,114.968,114.907,114.947,1706369.9961
06.10.2020 16:27:00.000,114.948,114.978,114.847,114.857,2667989.9693
06.10.2020 16:28:00.000,114.868,114.908,114.817,114.897,1928259.9688
06.10.2020 16:29:00.000,114.888,114.948,114.877,114.907,2149009.943
06.10.2020 16:30:00.000,114.918,114.998,114.888,114.958,2570529.9377
06.10.2020 16:31:00.000,114.958,114.998,114.877,114.887,2230220.0794
06.10.2020 16:32:00.000,114.887,114.927,114.827,114.897,2207659.9598
06.10.2020 16:33:00.000,114.897,114.918,114.858,114.877,1624889.9698
06.10.2020 16:34:00.000,114.868,114.868,114.787,114.797,2245889.9021
06.10.2020 16:35:00.000,114.798,114.798,114.687,114.738,2851010.0842
06.10.2020 16:36:00.000,114.737,114.867,114.737,114.867,2112550.0202
06.10.2020 16:37:00.000,114.877,114.978,114.847,114.967,2671030.0446
06.10.2020 16:38:00.000,114.967,114.988,114.908,114.967,2306890.0108
06.10.2020 16:39:00.000,114.958,115.028,114.887,114.988,2307369.9474
06.10.2020 16:40:00.000,114.998,114.998,114.877,114.898,2327179.9088
06.10.2020 16:41:00.000,114.898,114.958,114.877,114.958,1627390.027
06.10.2020 16:42:00.000,114.967,115.008,114.947,114.977,2306390.0471
06.10.2020 16:43:00.000,114.988,114.988,114.917,114.917,2287679.9107
06.10.2020 16:44:00.000,114.927,114.948,114.897,114.937,1786159.9922
06.10.2020 16:45:00.000,114.938,114.978,114.927,114.937,2485100.0309
06.10.2020 16:46:00.000,114.947,114.988,114.947,114.978,1384080.0524
06.10.2020 16:47:00.000,114.988,115.178,114.977,115.178,2429160.1181
06.10.2020 16:48:00.000,115.177,115.338,115.167,115.298,3686059.9518
06.10.2020 16:49:00.000,115.308,115.358,115.257,115.317,2330240.0112
06.10.2020 16:50:00.000,115.317,115.328,115.187,115.218,2309950.1133
06.10.2020 16:51:00.000,115.217,115.288,115.167,115.237,2327430.0098
06.10.2020 16:52:00.000,115.248,115.288,115.168,115.188,2170259.9525
06.10.2020 16:53:00.000,115.177,115.257,115.177,115.227,1848989.9635
06.10.2020 16:54:00.000,115.237,115.347,115.217,115.347,1847120.0466
06.10.2020 16:55:00.000,115.347,115.418,115.317,115.347,1866350.0547
06.10.2020 16:56:00.000,115.348,115.348,115.238,115.258,1526180.0289
06.10.2020 16:57:00.000,115.267,115.308,115.197,115.227,1747140.0499
06.10.2020 16:58:00.000,115.238,115.268,115.208,115.217,1264600.0385
06.10.2020 16:59:00.000,115.218,115.268,115.207,115.267,1184039.9504
06.10.2020 17:00:00.000,115.277,115.318,115.257,115.297,1924579.978
06.10.2020 17:01:00.000,115.297,115.327,115.227,115.297,2007760.0479
06.10.2020 17:02:00.000,115.288,115.308,115.267,115.297,1506850.0042
06.10.2020 17:03:00.000,115.297,115.328,115.267,115.298,541809.9761
06.10.2020 17:04:00.000,115.307,115.327,115.227,115.247,1465119.9579
06.10.2020 17:05:00.000,115.248,115.278,115.238,115.258,1261520.0281
06.10.2020 17:06:00.000,115.257,115.308,115.248,115.308,1002020.0014
06.10.2020 17:07:00.000,115.288,115.428,115.267,115.387,2729779.9587
06.10.2020 17:08:00.000,115.398,115.478,115.348,115.478,2389950.037
06.10.2020 17:09:00.000,115.478,115.568,115.418,115.547,2808409.9293
06.10.2020 17:10:00.000,115.558,115.617,115.517,115.588,2487950.0866
06.10.2020 17:11:00.000,115.587,115.597,115.497,115.507,1986870.0504
06.10.2020 17:12:00.000,115.517,115.518,115.427,115.457,2345599.8898
06.10.2020 17:13:00.000,115.457,115.508,115.438,115.468,1545099.9737
06.10.2020 17:14:00.000,115.457,115.498,115.427,115.438,1664579.9875
06.10.2020 17:15:00.000,115.447,115.478,115.397,115.447,1869490.0274
06.10.2020 17:16:00.000,115.438,115.528,115.418,115.508,2068239.9273
06.10.2020 17:17:00.000,115.498,115.558,115.487,115.527,1506620.0495
06.10.2020 17:18:00.000,115.537,115.598,115.527,115.577,1606930.0175
06.10.2020 17:19:00.000,115.578,115.578,115.498,115.498,1506989.9559
06.10.2020 17:20:00.000,115.498,115.498,115.208,115.237,3088180.0652
06.10.2020 17:21:00.000,115.237,115.258,115.148,115.187,2328140.0204
06.10.2020 17:22:00.000,115.177,115.378,115.177,115.378,3393759.9659
06.10.2020 17:23:00.000,115.368,115.417,115.337,115.407,2407390.1176
06.10.2020 17:24:00.000,115.398,115.398,115.158,115.177,2788640.0223
06.10.2020 17:25:00.000,115.168,115.208,115.167,115.188,1766370.0581
06.10.2020 17:26:00.000,115.198,115.227,115.148,115.168,1788450.0027
