INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 9.509800000001789
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 20.01214180000089
INFO:root:Ticker APPL, Size 102, Market Value Bought 114.5499054, Market Value Sold None Enter Time 2020-05-10 13:59:00 Sell Time None Trande UP Profit 16.02364920000079
INFO:root:Ticker APPL, Size 93, Market Value Bought 114.6099174, Market Value Sold None Enter Time 2020-05-10 14:00:00 Sell Time None Trande UP Profit 9.028681800000683
INFO:root:Ticker APPL, Size 84, Market Value Bought 114.6999354, Market Value Sold None Enter Time 2020-05-10 14:01:00 Sell Time None Trande UP Profit 0.5934264000005669
INFO:root:Ticker APPL, Size 76, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:02:00 Sell Time None Trande UP Profit -1.0594095999989577
INFO:root:Ticker APPL, Size 68, Market Value Bought 114.7609476, Market Value Sold None Enter Time 2020-05-10 14:03:00 Sell Time None Trande UP Profit -3.6684367999990855
INFO:root:Ticker APPL, Size 61, Market Value Bought 114.71093759999998, Market Value Sold None Enter Time 2020-05-10 14:04:00 Sell Time None Trande UP Profit -0.24019359999829248
INFO:root:Ticker APPL, Size 55, Market Value Bought 114.67993140000002, Market Value Sold None Enter Time 2020-05-10 14:05:00 Sell Time None Trande UP Profit 1.488772999999597
INFO:root:Ticker APPL, Size 50, Market Value Bought 114.7209396, Market Value Sold None Enter Time 2020-05-10 14:06:00 Sell Time None Trande UP Profit -0.6969799999993143
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 112.37408640000002
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 69.00995639999871
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 65.39685599999984
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit 32.134799999999686
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 40.46514179999899
